symbol,sector,industry,gain,market_cap
FTI,Energy,Oil & Gas Equipment & Services,0.09373202990224261,16158359450.460001
FTII,Industrials,Shell Companies,0.020373514431239408,71702973.0
FTK,Energy,Oil & Gas Equipment & Services,0.07640297498309674,452788873.02
FTLF,Consumer Defensive,Packaged Foods,0.46545454545454534,181881557.44
FTNT,Technology,Software - Infrastructure,-0.1955930614158462,66354771809.98
FTRE,Healthcare,Diagnostics & Research,1.1235955056179774,864000000.0
FTS,Utilities,Utilities - Regulated Electric,0.07252559726962454,25105016332.440002
FTV,Technology,Scientific & Technical Instruments,-0.04886792452830195,22478905891.00586
FUBO,Communication Services,Broadcasting,0.08493150684931508,1348832550.25
FUFU,Financial Services,Capital Markets,0.10919540229885054,636115798.5
FUL,Basic Materials,Specialty Chemicals,-0.02435813034891371,3232393153.52
FULC,Healthcare,Biotechnology,0.31339031339031354,513343200.06
FULT,Financial Services,Banks - Regional,-0.03115100316789862,3321497067.3
FUN,Consumer Cyclical,Leisure,-0.23109108464757,2347549115.17
FUNC,Financial Services,Banks - Regional,0.0762585641942211,232005760.00000003
FURY,Basic Materials,Other Industrial Metals & Mining,0.2320388349514562,95357922.34619999
FUSB,Financial Services,Banks - Regional,-0.037549407114624477,69550502.34
FUTU,Financial Services,Capital Markets,0.38049216275481196,183876765143.75
FVCB,Financial Services,Banks - Regional,-0.010920436817472743,232150110.24
FVRR,Communication Services,Internet Content & Information,-0.18194492854653196,841978237.8599999
FWONA,Communication Services,Entertainment,0.03445315015562943,23782078833.1
FWONK,Communication Services,Entertainment,0.017075773745997915,23127236550.0
FWRD,Industrials,Integrated Freight & Logistics,-0.1260723610593062,726628903.6999999
FWRG,Consumer Cyclical,Restaurants,-0.06659012629161883,966345432.8
FXNC,Financial Services,Banks - Regional,0.08523002421307514,200493187.76
FYBR,Communication Services,Telecom Services,0.02576754385964926,9331326370.0
G,Technology,Information Technology Services,-0.10529743812418588,7272711669.599999
GABC,Financial Services,Banks - Regional,-0.04187071498530854,1451870081.6
GAIA,Communication Services,Entertainment,0.40243902439024404,138902414.52
GAIN,Financial Services,Asset Management,-0.017605633802816902,514618212.57000005
GALT,Healthcare,Biotechnology,1.013953488372093,268517086.75
GAMB,Consumer Cyclical,Gambling,-0.29814189189189183,282622368.87
GAME,Industrials,Specialty Business Services,-0.13268041237113395,24499841.4465
GANX,Healthcare,Biotechnology,0.1999999999999999,51683730.720000006
GASS,Industrials,Marine Shipping,-0.010670731707316982,227976868.95000002
GATE,Industrials,Shell Companies,0.0,417538742.59999996
GATX,Industrials,Rental & Leasing Services,0.11679156611202836,6235696000.0
GAU,Basic Materials,Gold,0.8731343283582087,604133173.1
GBCI,Financial Services,Banks - Regional,0.05402449693788274,5367408527.53
GBDC,Financial Services,Asset Management,-0.06173677069199458,3647950722.78
GBIO,Healthcare,Biotechnology,0.9212121212121213,41142828.496
